cluster_k,CustomerID,InvoiceNumberYear,LastInvoiceMonth,LastInvoiceMonthNb,MeanLinesPerInvoice,MeanQuantityPerInvoice,MeanAmountPerInvoice,TotalAmountSpent
7,15054,2,201111,1,57.0,99.0,151.04999999999995,302.0999999999999
3,17906,1,201104,8,12.0,26.0,72.9,72.9
2,12433,7,201112,0,60.0,1581.5714285714287,1910.8385714285719,13375.870000000003
7,13644,4,201111,1,36.25,516.5,649.8150000000002,2599.2600000000007
0,17470,5,201110,2,15.6,335.0,225.01399999999998,1125.07
0,14098,1,201111,1,21.0,104.0,147.34999999999997,147.34999999999997
0,16988,1,201112,0,7.0,43.0,126.12,126.12
7,12354,1,201104,8,58.0,530.0,1079.4,1079.4
0,12695,4,201112,0,6.75,55.0,145.525,582.1
3,15820,1,201101,11,17.0,128.0,206.98000000000002,206.98000000000002
7,17797,3,201111,1,37.0,166.0,260.1433333333334,780.4300000000002
0,16357,3,201111,1,11.333333333333334,82.0,219.62666666666664,658.8799999999999
6,13001,13,201112,0,26.0,423.3076923076923,754.5323076923075,9808.919999999998
0,12476,10,201111,1,21.7,232.4,578.917,5789.17
0,18209,1,201111,1,8.0,58.0,139.10000000000002,139.10000000000002
0,17034,3,201111,1,10.0,136.66666666666666,248.50666666666666,745.52
7,16805,2,201106,6,49.0,269.5,230.29499999999996,460.5899999999999
0,14389,2,201110,2,22.5,364.5,521.73,1043.46
3,15508,6,201106,6,15.333333333333334,73.33333333333333,166.71166666666667,1000.27
0,16528,1,201112,0,17.0,171.0,244.41,244.41
0,17540,2,201111,1,12.5,97.0,289.45,578.9
3,15596,4,201105,7,18.25,137.75,339.8225,1359.29
7,17932,3,201111,1,30.0,263.0,443.85666666666657,1331.5699999999997
7,14432,6,201111,1,63.666666666666664,345.0,375.9183333333333,2255.5099999999998
3,17862,1,201101,11,11.0,100.0,330.9,330.9
7,16755,3,201108,4,55.666666666666664,353.6666666666667,496.99333333333334,1490.98
6,16458,18,201112,0,11.222222222222221,119.66666666666667,193.48555555555555,3482.74
3,13493,2,201103,9,3.0,188.5,249.315,498.63
0,13058,3,201111,1,2.6666666666666665,17.333333333333332,90.46666666666665,271.4
7,16255,8,201111,1,33.75,220.875,327.48875,2619.91
0,12935,7,201112,0,18.428571428571427,264.7142857142857,308.6714285714285,2160.7
0,15373,12,201112,0,10.583333333333334,39.666666666666664,184.42583333333334,2213.11
3,13101,1,201104,8,8.0,113.0,101.18999999999998,101.18999999999998
0,14356,2,201109,3,16.0,135.5,341.94499999999994,683.8899999999999
0,14621,5,201112,0,18.4,198.6,357.6719999999999,1788.3599999999997
0,18222,1,201109,3,19.0,335.0,443.0,443.0
0,15215,3,201110,2,11.666666666666666,75.0,244.98000000000002,734.94
7,15573,2,201111,1,51.5,181.0,299.75,599.5
3,17639,1,201103,9,7.0,49.0,108.5,108.5
0,13127,1,201109,3,15.0,127.0,259.16999999999996,259.16999999999996
7,16126,4,201111,1,29.25,531.25,1571.9425,6287.77
0,15831,3,201110,2,22.666666666666668,368.3333333333333,267.2533333333334,801.7600000000001
0,14806,1,201109,3,11.0,330.0,193.39000000000004,193.39000000000004
2,13596,2,201112,0,83.0,203.0,348.5199999999999,697.0399999999998
0,16131,6,201110,2,13.0,300.3333333333333,584.4233333333333,3506.54
0,15127,1,201110,2,16.0,251.0,406.53000000000003,406.53000000000003
6,14056,23,201112,0,47.56521739130435,184.7391304347826,354.3986956521739,8151.17
0,16337,1,201111,1,10.0,87.0,151.05,151.05
0,17754,5,201112,0,18.4,373.8,354.452,1772.26
3,13060,1,201103,9,15.0,123.0,307.53000000000003,307.53000000000003
3,17239,1,201101,11,15.0,150.0,382.50000000000006,382.50000000000006
0,16359,9,201112,0,7.111111111111111,131.22222222222223,166.7688888888889,1500.92
7,12428,8,201111,1,35.875,438.625,800.6574999999999,6405.259999999999
0,17636,1,201111,1,20.0,182.0,285.56,285.56
7,16895,1,201110,2,69.0,102.0,219.13999999999996,219.13999999999996
0,15593,1,201109,3,5.0,60.0,199.8,199.8
0,15256,1,201107,5,6.0,55.0,98.45,98.45
0,16352,2,201111,1,14.0,150.0,247.22000000000003,494.44000000000005
7,14140,2,201112,0,32.5,404.5,460.025,920.05
0,13489,4,201108,4,3.5,140.0,112.38000000000001,449.52000000000004
3,14373,1,201100,12,4.0,17.0,76.55,76.55
0,17267,2,201108,4,19.0,79.5,158.80999999999997,317.61999999999995
3,16897,1,201101,11,30.0,58.0,213.03000000000006,213.03000000000006
7,16726,5,201111,1,37.0,195.4,276.404,1382.02
0,12824,1,201110,2,25.0,232.0,397.11999999999995,397.11999999999995
0,13848,3,201109,3,1.6666666666666667,1233.3333333333333,418.3333333333333,1255.0
3,16838,2,201105,7,12.5,92.5,294.42500000000007,588.8500000000001
3,16405,2,201102,10,2.5,93.5,83.625,167.25
0,17694,1,201107,5,15.0,184.0,283.12000000000006,283.12000000000006
7,15644,4,201106,6,59.5,139.25,203.24999999999997,812.9999999999999
0,15854,12,201112,0,11.666666666666666,78.25,247.88749999999996,2974.6499999999996
7,13772,3,201111,1,59.0,182.0,377.3766666666666,1132.1299999999999
0,14487,6,201111,1,24.0,122.5,199.38833333333335,1196.3300000000002
0,13842,9,201110,2,22.88888888888889,196.44444444444446,376.18000000000006,3385.6200000000003
0,16218,7,201111,1,11.857142857142858,297.7142857142857,438.7885714285714,3071.52
3,17171,1,201102,10,16.0,185.0,224.90999999999997,224.90999999999997
0,15093,6,201111,1,17.833333333333332,624.0,736.9699999999999,4421.82
3,16679,1,201100,12,3.0,29.0,129.75,129.75
0,14317,1,201110,2,24.0,255.0,508.58,508.58
3,17678,1,201103,9,16.0,207.0,298.10999999999996,298.10999999999996
3,14479,2,201103,9,9.0,58.5,158.125,316.25
0,15043,1,201111,1,3.0,300.0,537.0,537.0
3,14998,2,201106,6,37.5,135.0,214.935,429.87
3,15897,2,201105,7,12.0,130.5,111.02499999999999,222.04999999999998
3,17455,1,201105,7,8.0,66.0,131.7,131.7
7,17426,6,201112,0,45.0,513.6666666666666,837.0433333333332,5022.259999999999
7,16445,1,201111,1,63.0,111.0,230.51000000000002,230.51000000000002
3,18233,1,201101,11,1.0,4.0,440.0,440.0
3,13819,3,201102,10,12.0,369.6666666666667,380.1166666666666,1140.35
6,18225,12,201112,0,22.416666666666668,269.5833333333333,456.7558333333334,5481.070000000001
0,17637,2,201111,1,17.5,140.0,273.5299999999999,547.0599999999998
3,16567,2,201105,7,17.5,498.0,432.79999999999995,865.5999999999999
7,18045,1,201110,2,47.0,142.0,189.39999999999995,189.39999999999995
0,13283,2,201110,2,3.5,45.0,46.83,93.66
3,16034,3,201105,7,7.333333333333333,80.66666666666667,145.89999999999998,437.69999999999993
7,18189,2,201109,3,34.0,283.0,545.1199999999999,1090.2399999999998
0,13759,2,201111,1,12.5,143.5,329.705,659.41
6,14562,18,201112,0,22.555555555555557,95.27777777777777,269.94555555555553,4859.0199999999995
7,12705,8,201111,1,40.875,495.5,795.5737499999999,6364.589999999999
0,17519,6,201111,1,13.666666666666666,206.0,307.33666666666664,1844.02
0,16846,1,201110,2,11.0,135.0,214.32000000000002,214.32000000000002
0,18232,4,201109,3,9.25,75.5,148.2425,592.97
0,14201,7,201110,2,5.142857142857143,83.42857142857143,102.53428571428572,717.74
3,16152,1,201103,9,29.0,642.0,1829.04,1829.04
0,15364,2,201109,3,14.5,246.5,456.5950000000001,913.1900000000002
0,16019,9,201110,2,17.555555555555557,187.88888888888889,410.3266666666666,3692.9399999999996
7,13212,3,201111,1,47.333333333333336,103.33333333333333,262.69333333333327,788.0799999999998
7,16485,1,201109,3,42.0,235.0,363.65,363.65
0,13924,5,201112,0,22.4,312.6,356.11,1780.55
0,14460,3,201108,4,5.333333333333333,293.6666666666667,144.78,434.34
6,16928,17,201109,3,12.176470588235293,124.23529411764706,166.96470588235294,2838.4
0,16401,12,201112,0,15.5,323.5,341.52666666666664,4098.32
0,13962,2,201111,1,5.5,43.5,84.775,169.55
0,16156,9,201112,0,14.222222222222221,142.66666666666666,340.84000000000003,3067.5600000000004
3,13887,1,201105,7,19.0,147.0,349.54999999999995,349.54999999999995
2,14505,8,201111,1,99.875,344.875,738.2050000000002,5905.640000000001
0,17122,1,201108,4,7.0,80.0,138.32,138.32
0,17058,3,201109,3,20.666666666666668,197.33333333333334,393.2966666666667,1179.89
3,12639,1,201104,8,21.0,198.0,366.1,366.1
0,13302,1,201107,5,1.0,5.0,63.75,63.75
0,17425,2,201111,1,21.5,203.5,379.58499999999975,759.1699999999995
0,16363,1,201110,2,5.0,52.0,109.36000000000001,109.36000000000001
3,15775,1,201104,8,7.0,68.0,104.9,104.9
7,16358,4,201112,0,27.25,325.5,506.8750000000001,2027.5000000000005
0,15971,12,201111,1,2.8333333333333335,143.0,349.575,4194.9
0,13876,1,201110,2,7.0,36.0,122.69999999999999,122.69999999999999
3,16148,1,201102,10,1.0,72.0,76.32000000000001,76.32000000000001
7,17686,7,201112,0,40.857142857142854,354.0,819.9228571428572,5739.46
7,13822,2,201112,0,48.0,305.5,316.0,632.0
0,17040,1,201107,5,15.0,181.0,449.7299999999999,449.7299999999999
3,16356,3,201105,7,10.333333333333334,31.0,70.59,211.77
0,12917,1,201108,4,2.0,120.0,594.0,594.0
0,13045,1,201109,3,18.0,221.0,305.28,305.28
7,17962,1,201107,5,35.0,128.0,102.82999999999998,102.82999999999998
0,13183,9,201112,0,10.444444444444445,245.33333333333334,439.7533333333334,3957.7800000000007
3,15447,1,201101,11,9.0,85.0,155.17,155.17
0,16743,7,201111,1,27.142857142857142,289.0,315.4414285714285,2208.0899999999997
7,14530,6,201111,1,36.0,235.0,487.6516666666666,2925.9099999999994
0,17928,2,201110,2,11.0,34.0,92.23,184.46
0,16169,4,201112,0,21.25,331.25,455.74250000000006,1822.9700000000003
3,15079,4,201105,7,11.75,97.25,223.90250000000003,895.6100000000001
0,16983,7,201111,1,21.142857142857142,197.0,275.89285714285717,1931.2500000000002
0,14297,4,201111,1,15.25,215.5,322.62,1290.48
7,14698,5,201112,0,42.0,123.0,250.152,1250.76
0,14860,1,201111,1,11.0,232.0,170.32000000000002,170.32000000000002
0,15438,1,201107,5,25.0,59.0,156.57999999999998,156.57999999999998
7,14415,13,201112,0,45.15384615384615,230.84615384615384,452.02153846153846,5876.28
0,13427,3,201111,1,9.666666666666666,181.66666666666666,194.20000000000002,582.6
0,17986,1,201110,2,1.0,10.0,20.8,20.8
0,13359,1,201110,2,22.0,160.0,389.55999999999995,389.55999999999995
0,13411,1,201108,4,18.0,72.0,213.55000000000004,213.55000000000004
