cluster_k,CustomerID,InvoiceNumberYear,LastInvoiceMonth,LastInvoiceMonthNb,MeanLinesPerInvoice,MeanQuantityPerInvoice,MeanAmountPerInvoice,TotalAmountSpent
1,12348,4,201109,3,6.75,583.0,359.31,1437.24
5,12349,1,201111,1,72.0,630.0,1457.55,1457.55
7,12350,1,201102,10,16.0,196.0,294.40000000000003,294.40000000000003
3,12352,7,201111,1,10.0,66.14285714285714,180.77285714285713,1265.4099999999999
7,12353,1,201105,7,4.0,20.0,89.0,89.0
5,12354,1,201104,8,58.0,530.0,1079.4,1079.4
4,12355,1,201105,7,13.0,240.0,459.4,459.4
1,12358,2,201112,0,8.5,121.0,464.03,928.06
7,12361,1,201102,10,9.0,90.0,174.89999999999998,174.89999999999998
4,12363,2,201108,4,11.5,204.0,276.0,552.0
1,12364,4,201112,0,20.25,374.75,302.025,1208.1
7,12365,1,201102,10,21.0,173.0,320.69,320.69
0,12367,1,201112,0,10.0,172.0,150.9,150.9
5,12371,1,201110,2,62.0,582.0,1527.9600000000003,1527.9600000000003
1,12372,3,201109,3,16.333333333333332,262.6666666666667,398.68,1196.04
7,12373,1,201102,10,13.0,196.0,324.6,324.6
4,12374,1,201111,1,32.0,339.0,622.93,622.93
0,12375,2,201111,1,7.5,88.0,188.75000000000003,377.50000000000006
5,12377,2,201101,11,38.0,471.0,774.0599999999998,1548.1199999999997
4,12379,2,201109,3,19.0,201.0,388.62,777.24
1,12381,3,201112,0,27.0,261.6666666666667,486.60333333333324,1459.8099999999997
0,12384,2,201111,1,12.5,61.0,212.635,425.27
7,12386,2,201101,11,5.0,177.0,200.95000000000002,401.90000000000003
4,12390,1,201109,3,31.0,350.0,504.84,504.84
2,12391,1,201111,1,100.0,300.0,460.88999999999993,460.88999999999993
1,12393,4,201109,3,16.0,204.0,395.65000000000003,1582.6000000000001
1,12394,2,201110,2,12.5,404.0,540.24,1080.48
5,12398,1,201110,2,84.0,1389.0,1435.6599999999999,1435.6599999999999
6,12399,4,201108,4,13.75,293.25,258.4125,1033.65
7,12401,1,201102,10,4.0,10.0,69.3,69.3
7,12402,1,201101,11,10.0,92.0,195.6,195.6
4,12403,1,201110,2,4.0,94.0,391.7,391.7
5,12405,1,201107,5,53.0,849.0,1390.3900000000006,1390.3900000000006
3,12407,5,201110,2,14.4,280.6,301.424,1507.12
7,12410,2,201102,10,12.5,103.5,266.66499999999996,533.3299999999999
1,12412,3,201109,3,19.333333333333332,274.6666666666667,380.96000000000004,1142.88
6,12413,3,201110,2,12.0,94.0,228.70000000000005,686.1000000000001
7,12414,3,201105,7,5.0,99.0,147.47,442.41
4,12418,1,201108,4,34.0,407.0,668.5799999999997,668.5799999999997
4,12420,1,201110,2,29.0,345.0,600.3900000000001,600.3900000000001
6,12421,4,201111,1,10.25,119.5,159.76000000000002,639.0400000000001
6,12422,3,201109,3,12.666666666666666,122.33333333333333,227.85333333333332,683.56
5,12425,1,201109,3,36.0,496.0,777.1999999999999,777.1999999999999
4,12426,1,201105,7,29.0,254.0,510.7299999999999,510.7299999999999
6,12427,3,201111,1,9.0,79.33333333333333,213.10666666666668,639.32
0,12430,1,201110,2,10.0,116.0,216.4,216.4
4,12434,2,201109,3,24.5,193.0,396.4699999999999,792.9399999999998
4,12436,1,201109,3,15.0,209.0,429.01000000000005,429.01000000000005
7,12441,1,201100,12,10.0,120.0,155.55,155.55
0,12442,1,201112,0,11.0,181.0,144.06,144.06
0,12445,1,201111,1,3.0,60.0,77.4,77.4
5,12446,1,201110,2,57.0,351.0,1002.3099999999998,1002.3099999999998
7,12447,1,201104,8,25.0,187.0,431.49,431.49
4,12448,1,201110,2,21.0,240.0,365.4500000000001,365.4500000000001
0,12450,2,201107,5,4.0,64.0,98.94,197.88
4,12452,1,201111,1,20.0,181.0,348.57000000000005,348.57000000000005
5,12453,1,201107,5,43.0,473.0,707.0899999999999,707.0899999999999
4,12458,2,201109,3,18.0,251.0,393.70000000000005,787.4000000000001
4,12461,1,201107,5,34.0,282.0,626.8800000000001,626.8800000000001
1,12462,2,201111,1,30.0,263.5,468.79499999999996,937.5899999999999
1,12463,4,201110,2,19.5,189.0,295.24500000000006,1180.9800000000002
3,12464,8,201111,1,2.75,11.875,119.63125000000001,957.0500000000001
4,12465,2,201111,1,22.5,237.5,341.095,682.19
4,12468,2,201106,6,18.0,181.0,328.77,657.54
4,12475,1,201110,2,35.0,532.0,669.38,669.38
4,12478,1,201112,0,35.0,233.0,545.99,545.99
4,12479,1,201111,1,29.0,366.0,453.2,453.2
1,12488,3,201111,1,18.0,175.33333333333334,414.8866666666666,1244.6599999999999
7,12489,1,201101,11,14.0,103.0,298.93,298.93
4,12491,1,201111,1,25.0,258.0,424.4000000000001,424.4000000000001
0,12492,2,201110,2,9.0,95.0,113.605,227.21
7,12493,2,201106,6,9.5,101.5,181.395,362.79
3,12494,6,201111,1,11.166666666666666,114.66666666666667,168.41666666666666,1010.5
5,12497,1,201109,3,13.0,1231.0,953.1,953.1
0,12498,3,201111,1,7.0,52.0,116.56666666666666,349.7
0,12504,1,201111,1,2.0,48.0,60.0,60.0
7,12506,1,201104,8,23.0,23.0,73.50000000000003,73.50000000000003
1,12507,2,201107,5,9.5,442.5,503.03,1006.06
4,12508,2,201111,1,34.5,136.0,199.135,398.27
7,12509,1,201102,10,6.0,54.0,158.5,158.5
4,12510,2,201107,5,15.5,173.5,407.285,814.57
0,12512,2,201110,2,17.0,49.5,69.01500000000003,138.03000000000006
4,12513,1,201108,4,33.0,453.0,532.7900000000001,532.7900000000001
5,12514,1,201103,9,51.0,440.0,1017.6800000000002,1017.6800000000002
7,12515,1,201100,12,15.0,128.0,278.7,278.7
1,12516,2,201109,3,12.0,434.0,593.03,1186.06
0,12519,1,201110,2,17.0,180.0,286.84,286.84
4,12521,1,201107,5,37.0,306.0,545.6800000000001,545.6800000000001
0,12522,2,201110,2,5.0,96.0,78.36,156.72
1,12526,3,201112,0,22.666666666666668,208.0,390.8866666666666,1172.6599999999999
0,12527,3,201109,3,5.666666666666667,77.66666666666667,110.23666666666668,330.71000000000004
1,12530,4,201110,2,15.0,222.75,365.4075,1461.63
0,12531,1,201111,1,17.0,45.0,125.22,125.22
4,12532,1,201111,1,15.0,151.0,313.83,313.83
5,12534,1,201108,4,62.0,645.0,981.1800000000001,981.1800000000001
4,12535,2,201109,3,17.0,109.5,358.17500000000007,716.3500000000001
4,12538,1,201111,1,21.0,191.0,363.95,363.95
6,12541,3,201111,1,16.333333333333332,225.0,280.39333333333326,841.1799999999998
4,12544,1,201111,1,18.0,134.0,316.7,316.7
4,12545,2,201109,3,24.0,258.5,416.195,832.39
1,12546,2,201110,2,33.0,306.0,500.75,1001.5
7,12547,2,201105,7,3.0,66.0,75.9,151.8
0,12548,1,201106,6,4.0,48.0,67.19999999999999,67.19999999999999
5,12550,1,201109,3,56.0,564.0,824.8299999999994,824.8299999999994
7,12551,1,201100,12,10.0,100.0,168.0,168.0
4,12552,1,201110,2,19.0,85.0,317.81999999999994,317.81999999999994
2,12556,2,201110,2,60.5,179.0,301.8549999999999,603.7099999999998
7,12559,2,201102,10,9.5,139.5,250.105,500.21
7,12561,1,201102,10,16.0,177.0,238.85,238.85
7,12564,1,201103,9,20.0,130.0,402.9000000000001,402.9000000000001
7,12565,1,201102,10,9.0,80.0,145.92,145.92
4,12566,1,201109,3,18.0,262.0,297.65000000000003,297.65000000000003
4,12571,2,201110,2,17.0,261.5,259.805,519.61
1,12572,2,201112,0,29.0,223.0,456.2100000000001,912.4200000000002
7,12573,1,201104,8,28.0,84.0,160.54,160.54
7,12574,1,201101,11,10.0,59.0,182.45000000000002,182.45000000000002
3,12576,5,201111,1,17.6,193.4,263.166,1315.83
2,12577,3,201111,1,48.666666666666664,157.0,217.95000000000002,653.85
4,12579,1,201109,3,27.0,276.0,374.71999999999997,374.71999999999997
7,12580,1,201104,8,23.0,236.0,379.7,379.7
0,12581,1,201110,2,14.0,160.0,179.70999999999998,179.70999999999998
7,12582,2,201104,8,10.0,148.0,175.68,351.36
0,12586,1,201111,1,11.0,79.0,196.94,196.94
0,12587,1,201112,0,3.0,50.0,104.0,104.0
0,12588,1,201110,2,9.0,52.0,174.9,174.9
4,12589,2,201111,1,16.5,151.0,287.34,574.68
7,12591,1,201101,11,25.0,225.0,368.84999999999985,368.84999999999985
0,12592,2,201109,3,8.0,144.0,200.8,401.6
6,12593,3,201108,4,6.666666666666667,68.0,127.36666666666667,382.1
0,12596,2,201110,2,12.5,234.0,225.135,450.27
3,12599,7,201111,1,7.857142857142857,135.42857142857142,126.93999999999998,888.5799999999999
